Otu000129,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000130,0,0,0,0,451,130,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,49,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
Otu000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,18,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
Otu000139,479,0,13,36,0,0,0,0,0,0,644,0,58,61,56,28,0,0,0,18,0,0,0,0,0,0,27,28,8,580,0,0,32,40,0,57,0,0,0,15,0,0
Otu000140,135,0,9,0,0,0,0,0,0,0,832,0,192,198,278,387,26,147,0,66,0,0,53,33,0,0,200,102,0,363,0,0,0,199,8,19,0,0,89,98,30,55
Otu000141,0,0,0,64,0,62,0,0,0,25,0,44,0,0,0,0,0,128,129,0,0,0,31,0,0,388,49,0,0,0,544,0,0,0,0,87,0,0,153,0,0,0
Otu000143,0,0,5555,4,0,0,8970,0,0,8,0,0,0,0,10,0,7853,0,1459,0,389,0,3515,0,0,26,0,0,0,0,285,6959,0,0,0,0,0,0,0,0,8597,5004
Otu000144,0,0,1985,69,0,0,2245,0,0,0,0,0,0,0,7,0,19,5,574,4,515,0,12043,0,0,0,0,0,0,0,341,6165,0,0,0,27,0,0,0,0,3842,5478
Otu000151,0,0,0,24,0,15,0,19,0,0,0,21,19,0,32,37,0,103,0,26,0,0,0,34,0,0,57,94,0,0,221,0,0,29,0,29,0,0,0,35,0,0
Otu000153,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000160,0,530,81,53,0,41,6,0,562,48,0,0,285,76,1085,963,59,2764,0,117,0,2,0,0,0,9,4580,59,0,0,348,0,0,52,7,125,59,174,138,1422,0,11
Otu000163,223,0,112,68,21,20,112,0,0,0,479,0,602,410,978,1078,462,244,413,121,0,0,383,59,0,155,838,186,241,472,154,72,1232,217,19,29,0,6,99,261,321,250
Otu000166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,414,0,0,18,0,0,0,0
Otu000170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,66,0,0,52,0,0,0,19
Otu000173,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000174,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000175,0,0,6362,0,0,0,4318,0,0,0,0,0,0,0,0,0,0,59,637,0,0,0,1382,0,0,0,0,0,0,0,0,6429,0,0,0,55,0,0,0,0,8184,18144
Otu000177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
Otu000179,0,0,0,0,0,58,0,0,0,0,0,0,0,39,112,0,0,241,0,0,0,0,0,239,0,92,0,93,0,0,206,0,0,129,39,0,37,0,0,0,0,0
Otu000181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000183,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,41,0,0,0,0,0,0,0,272,21,0,0,0,116,0,0,0,0,184,0,0,0,0,0,0
Otu000184,70,0,0,54,0,149,7,0,0,0,37,0,26,0,39,46,0,77,0,0,0,0,14,0,0,21,32,12,0,0,151,0,15,0,0,67,0,0,0,9,0,0
Otu000188,385,0,113,64,0,0,141,0,25,0,433,28,314,183,733,605,100,388,238,130,0,0,102,0,0,183,685,119,0,735,166,55,447,131,0,27,27,0,138,240,110,154
Otu000190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
Otu000191,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000193,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
Otu000202,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000203,0,0,0,0,0,26,0,0,0,0,0,0,0,0,18,6,42,0,0,0,0,0,41,40,0,0,15,18,0,0,228,14,0,19,13,8,0,0,14,15,0,0
Otu000204,0,0,0,101,0,0,0,0,0,0,70,87,118,0,0,179,0,185,0,106,0,0,0,0,0,106,194,0,0,0,0,0,0,0,982,81,0,0,20,103,0,0
Otu000205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Otu000209,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,153,0,0,0,0,40,0,0,119,0,0,0
Otu000211,137,0,0,0,0,0,12,0,0,0,230,0,21,0,26,21,0,21,0,0,0,0,0,0,0,0,0,29,71,0,0,0,37,34,0,5,0,0,0,0,0,0
Otu000213,0,0,0,86,0,77,40,0,0,0,17,0,17,0,34,32,65,140,10,29,0,0,29,21,0,0,71,54,19,0,0,0,0,36,137,13,0,0,0,0,25,0
Otu000214,0,0,0,0,0,25,0,0,0,0,13,0,0,0,0,0,0,37,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
